Latitude,Longitude,Sum_INCENDIE_count,Sum_Infractions_entrainant_count,Sum_ALARMES_INCENDIES_count,Sum_total_crimes,Population,Dwellings,Households,Average age,median income,sum_etage_hors_sol,sum_nombre_logement,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment
45.4,-73.94,3,0,107,23,,,,,,37,45,1929.333333,27416,4254
45.4,-73.95,2,0,38,91,,,,,,426,574,1924.381148,124893,93948
45.4,-73.96,0,0,1,1,352,162,149,42,32032,0,0,1900,2732,831
45.41,-73.88,0,0,0,1,,,,,,11,6,1914.333333,17569,2112
45.41,-73.89,0,0,3,6,,,,,,37,20,1961.1,40154,6022
45.41,-73.9,0,0,7,10,,,,,,134,85,1956.070588,183968,20041
45.41,-73.91,3,0,15,28,,,,,,273,173,1964.156069,314854,38362
45.41,-73.92,1,0,37,34,572,180,173,51.1,37504,351,226,1964.570175,396756,46376
45.41,-73.93,1,0,13,35,633,249,241,44.8,38613,385,268,1958.563433,427074,46210
45.41,-73.94,0,0,18,2,1133,347,335,37.3,51541,6,3,1915.5,30385,8897
45.41,-73.95,3,0,43,63,314,7,0,91.6,,728,730,1949.980392,253537,80990
45.41,-73.96,2,0,33,18,,,,,,318,273,1957.164021,336471,162413
45.42,-73.6,2,0,11,42,,,,,,547,597,1978.257732,107999,64808
45.42,-73.61,8,0,130,144,624,249,247,44.7,37205,1748,2347,1976.647648,409501,232376
45.42,-73.62,5,0,87,144,770,339,321,42.2,36437,1253,1590,1966.394507,423174,206128
45.42,-73.63,11,0,74,234,881,415,384,41.8,28480,1929,2484,1969.851351,379766,334289
45.42,-73.64,35,0,211,251,330,147,141,38.6,24896,1415,2370,1971.22673,517947,411294
45.42,-73.65,10,0,73,90,,,,,,789,1083,1958.43722,191008,123951
45.42,-73.66,0,0,1,37,,,,,,108,148,1975.975,22448,15106
45.42,-73.86,0,0,5,9,,,,,,50,29,1969.172414,68436,8129
45.42,-73.87,1,0,26,35,,,,,,314,205,1967.150485,263307,46624
45.42,-73.88,4,0,56,60,514,223,207,45.4,44459,671,499,1961.704225,557258,86669
45.42,-73.89,2,0,25,38,504,180,173,41.1,43328,835,592,1959.239057,645963,96281
